data	rotated	90deg	sym	Pm	
0	0	0.173	1471.33	147	10103.0
0	0	0.274	964.71	96	10103.0
0	0	0.375	733.3	36.67	10103.0
0	0	0.474	594.77	29.74	10103.0
0	0	0.674	468.31	23.42	10103.0
0	0	0.874	438.26	21.92	10103.0
0	0	1.074	456.74	22.84	10103.0
0	0	1.275	423.99	22.21	10103.0
0	0	1.474	476.21	23.82	10103.0
0	0	1.674	557.97	27.91	10103.0
0	0	1.874	633.8	31.7	10103.0
0	0	2.073	703.81	35.21	10103.0
0	0	2.274	790.97	39.56	10103.0
0	0	2.474	932.34	46.63	10103.0
0	0	2.674	1242.86	125	10103.0
0	0	2.775	1591.63	160	10103.0
0	0	2.875	2485.1	248	10103.0
0	0	3.074	2106.69	210	10103.0
0	0	3.174	651.87	65	10103.0
0	0	3.275	217.94	40	10103.0
0	0	3.374	10	30	10103.0
0	0	3.424	91.89	12.14	10103.0
0	0	3.474	152.41	12.14	10103.0
0	0	3.574	231.37	13.14	10103.0
0	0	3.674	288.82	15.31	10103.0
0	0	3.874	386.94	19.75	10103.0
0	0	4.074	439.03	22.28	10103.0
0	0	4.274	471.82	23.94	10103.0
0	0	4.474	510.23	25.83	10103.0
0	0	4.674	524	26.59	10103.0
0	0	4.874	553.71	28.09	10103.0
0	0	5.174	601.98	30.58	10103.0
0	0	5.374	704.89	80	10103.0
0	0	0.173	1571.33	147	20103.0
0	0	0.274	964.71	96	20103.0
0	0	0.375	743.3	36.67	20103.0
0	0	0.474	614.77	29.74	20103.0
0	0	0.674	478.31	23.42	20103.0
0	0	0.874	468.26	21.92	20103.0
0	0	1.074	466.74	22.84	20103.0
0	0	1.275	433.99	22.21	20103.0
0	0	1.474	486.21	23.82	20103.0
0	0	1.674	577.97	27.91	20103.0
0	0	1.874	643.8	31.7	20103.0
0	0	2.073	713.81	35.21	20103.0
0	0	2.274	800.97	39.56	20103.0
0	0	2.474	942.34	46.63	20103.0
0	0	2.674	1272.86	125	20103.0
0	0	2.775	1611.63	160	20103.0
0	0	2.875	2585.1	248	20103.0
0	0	3.074	2206.69	210	20103.0
0	0	3.174	671.87	65	20103.0
0	0	3.275	227.94	40	20103.0
0	0	3.374	30	30	20103.0
0	0	3.424	99.89	12.14	20103.0
0	0	3.474	162.41	12.14	20103.0
0	0	3.574	241.37	13.14	20103.0
0	0	3.674	298.82	15.31	20103.0
0	0	3.874	396.94	19.75	20103.0
0	0	4.074	449.03	22.28	20103.0
0	0	4.274	481.82	23.94	20103.0
0	0	4.474	520.23	25.83	20103.0
0	0	4.674	534	26.59	20103.0
0	0	4.874	563.71	28.09	20103.0
0	0	5.174	611.98	30.58	20103.0
0	0	5.374	714.89	80	20103.0
0	1	0.301	0.1	0.22	3
0	3	0.3	0.46	0.17	3
0	4	0.198	33.58	3.4	3
0	4	0.3	20.69	2	3
0	4	0.394	17.33	1.06	3
0	4	0.499	10.63	0.8	3
0	4	0.699	6.27	0.7	3
0	4	0.9	4.43	0.37	3
0	4	1.099	4.66	0.39	3
0	4	1.299	5.64	0.36	3
0	4	1.499	7.34	0.45	3
0	4	1.7	11.07	0.68	3
0	4	1.9	13.46	0.83	3
0	4	2.1	16.12	0.98	3
0	4	2.3	19.58	1.19	3
0	4	2.499	25.27	1.53	3
0	4	2.699	37.06	3.8	3
0	4	2.899	96.54	9.65	3
0	4	3.099	66.34	6.7	3
0	5	0.3	0.84	0.4	0.5
1	0	-0.299	4.7	0.29	0.5
1	0	0.3	3.76	1	0.5
1	1	-0.3	18.75	1.13	0.5
1	1	0.3	19.42	1.17	0.5
1	1	0.699	19.39	1.17	0.5
1	1	1.099	18.79	1.13	0.5
1	1	1.499	17.91	1.08	0.5
1	1	1.899	17.13	1.03	0.5
1	1	2.299	15.2	1.52	0.5
1	1	2.699	15.04	0.91	0.5
1	1	3.099	14.8	0.9	0.5
1	1	3.499	13.95	0.85	0.5
1	1	3.9	13.13	0.81	0.5
1	1	4.3	12.78	0.79	0.5
1	1	4.699	11.6	0.76	0.5
1	2	-4.899	7.84	0.9	1 
1	2	-4.7	8.44	0.94	1
1	2	-4.499	12.88	0.99	1
1	2	-4.3	23.93	2.4	1
1	2	-4.099	80.6	8.1	1
1	2	-3.899	101.25	10.2	1
1	2	-3.699	30.66	3.1	1
1	2	-3.499	18.7	1.16	1
1	2	-3.299	12.78	0.83	1
1	2	-3.099	9.96	0.8	1
1	2	-2.899	8.92	0.54	1
1	2	-2.699	9.21	0.56	1
1	2	-2.499	9.56	0.58	1
1	2	-2.299	11.07	0.67	1
1	2	-2.099	13.24	0.8	1
1	2	-1.899	16.78	1.01	1
1	2	-1.699	21.32	1.28	1
1	2	-1.499	29.06	1.75	1
1	2	-1.299	46.09	4.6	1
1	2	-1.2	69.81	7	1
1	2	-1.1	137.69	13.8	1
1	2	-0.9	106.47	10.7	1
1	2	-0.798	50.93	5.1	1
1	2	-0.699	31.19	3.2	1
1	2	-0.499	16.59	1	1
1	2	-0.299	12.19	.73	1
1	2	0.299	18.04	1.5	1
1	2	0.499	19.91	1.2	1
1	2	0.699	22.3	1.34	1
1	2	0.899	24.59	1.48	1
1	2	1.1	27.53	1.65	1
1	2	1.299	30.97	1.86	1
1	2	1.499	36.77	2.21	1
1	2	1.699	50.28	5.1	1
1	2	1.8	66.77	6.7	1
1	2	1.899	122.32	12.3	1
1	2	2.099	108.11	10.8	1
1	2	2.199	44.21	4.4	1
1	2	2.3	27.96	2.8	1
