Pm	group	ze	zmieniana	macierza	symetrii
0	0	0.173	1471.33	147	-3
0	0	0.274	964.71	96	-3
0	0	0.375	733.3	36.67	-3
0	0	0.474	594.77	29.74	-3
0	0	0.674	468.31	23.42	-3
0	0	0.874	438.26	21.92	-3
0	0	1.074	456.74	22.84	-3
0	0	1.275	423.99	22.21	-3
0	0	1.474	476.21	23.82	-3
0	0	1.674	557.97	27.91	-3
0	0	1.874	633.8	31.7	-3
0	0	2.073	703.81	35.21	-3
0	0	2.274	790.97	39.56	-3
0	0	2.474	932.34	46.63	-3
0	0	2.674	1242.86	62.16	-3
0	0	2.775	1591.63	160	-3
0	0	2.875	2485.1	248	-3
0	0	3.074	2106.69	210	-3
0	0	3.174	651.87	65	-3
0	0	3.275	217.94	21	-3
0	0	3.374	10	30	-3
0	0	3.424	91.89	12.14	-3
0	0	3.474	152.41	12.14	-3
0	0	3.574	231.37	13.14	-3
0	0	3.674	288.82	15.31	-3
0	0	3.874	386.94	19.75	-3
0	0	4.074	439.03	22.28	-3
0	0	4.274	471.82	23.94	-3
0	0	4.474	510.23	25.83	-3
0	0	4.674	524	26.59	-3
0	0	4.874	553.71	28.09	-3
0	0	5.174	601.98	30.58	-3
0	0	5.374	704.89	35.55	-3
0	1	-0.3	3.76	0.23	0.5
0	1	0.299	4.7	0.29	0.5
0	3	-0.3	6.49	0.4	0.5
0	3	0.3	7.91	0.48	0.5
0	5	-0.301	3.88	0.38	0.5
0	5	0.3	1.88	0.37	0.5
1	0	0.301	0.1	0.22	0.5
1	1	-4.699	11.6	0.76	0.5
1	1	-4.3	12.78	0.79	0.5
1	1	-3.9	13.13	0.81	0.5
1	1	-3.499	13.95	0.85	0.5
1	1	-3.099	14.8	0.9	0.5
1	1	-2.699	15.04	0.91	0.5
1	1	-2.299	15.2	0.92	0.5
1	1	-1.899	17.13	1.03	0.5
1	1	-1.499	17.91	1.08	0.5
1	1	-1.099	18.79	1.13	0.5
1	1	-0.699	19.39	1.17	0.5
1	1	-0.3	19.42	1.17	0.5
1	1	0.3	18.75	1.13	0.5
1	2	-0.299	6.21	0.37	0.5
1	2	0.299	6.47	0.39	0.5
1	2	0.499	6.41	0.39	0.5
1	2	0.699	6.19	0.38	0.5
1	2	0.899	5.87	0.36	0.5
1	2	1.099	5.83	0.36	0.5
1	2	1.299	6.26	0.39	0.5
1	2	1.499	6.01	0.37	0.5
1	2	1.699	5.8	0.36	0.5
1	2	1.899	5.5	0.35	0.5
1	2	2.099	5.64	0.35	0.5
1	2	2.299	5.54	0.35	0.5
1	2	2.499	5.41	0.34	0.5
1	2	2.699	5.5	0.35	0.5
1	2	2.899	6.28	0.6	0.5
1	2	3.099	5.29	0.64	0.5
1	2	3.299	6.1	0.72	0.5
1	2	3.499	4.91	0.76	0.5
1	2	3.7	5.16	0.9	0.5
1	2	3.899	4.31	0.94	0.5
1	2	4.099	4.75	1.08	0.5
1	2	4.299	5.56	0.89	0.5
1	2	4.5	5.42	0.64	0.5
1	2	4.699	5.95	0.9	0.5
1	3	-0.3	9.72	0.59	0.5
1	3	0.3	10.24	0.62	0.5
1	4	-0.3	4.85	0.32	0.5
1	4	0.301	5.24	0.32	0.5
1	5	-0.301	2.83	0.35	0.5
1	5	0.3	1.84	0.32	0.5
1	6	-0.3	1.64	0.97	0.5
1	6	0.3	1.24	0.49	0.5
2	1	-4.865	85	9.92	1
