WdW radious   Atom color 
   H   0.5000  0.900 0.900 0.900 
  He   1.4000  0.910 0.290 0.525 
  Li   1.8200  0.900 0.600 0.400 
  Be   1.5300  0.500 0.900 0.900 
   B   1.9200  0.216 0.675 0.169 
   C   1.0000  0.100 0.100 0.100 
   N   1.5300  0.000 0.000 0.800 
   O   1.1000  0.700 0.000 0.000 
   F   1.4700  0.075 0.702 0.702 
  Ne   1.5400  0.953 0.020 0.694 
  Na   1.8000  0.502 0.000 1.000 
  Mg   1.7300  0.600 0.600 0.300 
  Al   1.8400  0.700 0.700 0.700 
  Si   2.1000  0.929 0.663 0.161 
   P   1.8000  0.753 0.753 0.506 
   S   1.4000  1.000 1.000 0.000 
  Cl   1.7500  0.784 0.843 0.376 
  Ar   1.8800  0.502 0.000 1.000 
   K   2.7500  0.100 0.100 0.900 
  Ca   2.3100  0.900 0.300 0.300 
  Sc   2.1100  0.900 0.700 0.900 
  Ti   2.0000  0.300 0.600 0.300 
   V   2.0000  0.900 0.600 0.800 
  Cr   2.0000  0.400 0.290 0.910 
  Mn   2.0000  0.500 0.000 0.500 
  Fe   2.0000  0.655 0.545 0.604 
  Co   2.0000  0.600 0.200 0.200 
  Ni   1.6300  0.900 0.300 0.900 
  Cu   1.6000  0.900 0.500 0.100 
  Zn   1.3900  0.400 0.400 0.400 
  Ga   1.8700  0.400 0.600 0.400 
  Ge   2.1100  0.400 0.700 0.300 
  As   1.8500  0.300 0.500 0.300 
  Se   1.9000  0.600 0.600 0.200 
  Br   1.8500  0.800 0.200 0.000 
  Kr   2.0200  0.835 0.055 0.945 
  Rb   3.0300  0.808 0.843 0.992 
  Sr   2.4900  0.700 0.700 0.900 
   Y   2.0000  0.900 0.900 0.900 
  Zr   2.0000  0.500 0.500 0.500 
  Nb   2.0000  0.500 0.600 0.500 
  Mo   2.0000  0.800 0.800 0.400 
  Tc   2.0000  0.900 0.900 0.900 
  Ru   2.0000  0.900 0.900 0.600 
  Rh   2.0000  0.800 0.800 0.800 
  Pd   1.6300  0.769 0.780 0.835 
  Ag   1.7200  0.988 0.835 0.514 
  Cd   1.5800  0.416 0.839 0.404 
  In   1.9300  0.580 0.855 0.780 
  Sn   2.1700  0.500 0.500 0.600 
  Sb   2.0600  0.690 0.455 0.310 
  Te   2.0600  0.800 0.900 0.900 
   I   1.9800  0.500 0.100 0.300 
  Xe   2.1600  0.875 0.235 0.573 
  Cs   3.4300  0.900 0.700 0.700 
  Ba   2.6800  0.900 0.200 0.200 
  La   2.0000  0.900 0.900 0.900 
  Ce   2.0000  0.855 0.894 0.945 
  Pr   2.0000  0.900 0.900 0.900 
  Nd   2.0000  0.900 0.900 0.900 
  Pm   2.0000  0.900 0.900 0.900 
  Sm   2.0000  0.900 0.900 0.900 
  Eu   2.0000  0.700 0.700 0.700 
  Gd   2.0000  0.700 0.700 0.700 
  Tb   2.0000  0.700 0.700 0.700 
  Dy   2.0000  0.700 0.700 0.700 
  Ho   2.0000  0.700 0.700 0.700 
  Er   2.0000  0.700 0.700 0.700 
  Tm   2.0000  0.700 0.700 0.700 
  Yb   2.0000  0.700 0.700 0.700 
  Lu   2.0000  0.700 0.700 0.700 
  Hf   2.0000  0.700 0.700 0.700 
  Ta   2.0000  0.700 0.700 0.700 
   W   2.0000  0.000 0.000 1.000 
  Re   2.0000  0.698 0.698 0.698 
  Os   2.0000  0.700 0.700 0.700 
  Ir   2.0000  0.700 0.700 0.700 
  Pt   1.7500  0.792 0.792 0.808 
  Au   1.6600  0.800 0.800 0.100 
  Hg   1.5500  0.722 0.682 0.678 
  Tl   1.9600  0.835 0.769 0.796 
  Pb   2.0200  0.500 0.500 0.600 
  Bi   1.9000  0.710 0.275 0.694 
  Po   1.9700  0.600 0.600 0.600 
  At   2.0200  0.945 0.255 0.392 
  Rn   2.2000  0.600 0.600 0.600 
  Fr   3.4800  0.725 0.486 0.475 
  Ra   2.8300  0.600 0.600 0.600 
  Ac   2.0000  0.600 0.600 0.600 
  Th   2.0000  0.600 0.600 0.600 
  Pa   2.0000  0.800 0.800 0.800 
   U   1.8600  0.600 0.600 0.600 
  Np   2.0000  0.600 0.600 0.600 
  Pu   2.0000  0.600 0.600 0.600 
  Am   2.0000  0.600 0.600 0.600 
  Cm   2.0000  0.000 0.000 0.000 
  Bk   2.0000  0.000 0.000 0.000 
